cap;branch;reason
00100;Roma Aurelia;CAP non risolto da pgeocode
00129;Roma Aurelia;CAP non risolto da pgeocode
00130;Roma Nomentana;CAP non risolto da pgeocode
00140;Roma Nomentana;CAP non risolto da pgeocode
00150;Roma Aurelia;CAP non risolto da pgeocode
00160;Roma Nomentana;CAP non risolto da pgeocode
00170;Roma Nomentana;CAP non risolto da pgeocode
00180;Roma Aurelia;CAP non risolto da pgeocode
00190;Roma Nomentana;CAP non risolto da pgeocode
01029;Roma Nomentana;CAP non risolto da pgeocode
02036;Roma Nomentana;CAP non risolto da pgeocode
04028;Frosinone;CAP non risolto da pgeocode
04031;Frosinone;CAP non risolto da pgeocode
04072;Frosinone;CAP non risolto da pgeocode
05027;Perugia;CAP non risolto da pgeocode
06015;Perugia;CAP non risolto da pgeocode
07051;Sassari;CAP non risolto da pgeocode
07052;Sassari;CAP non risolto da pgeocode
09050;Cagliari;CAP non risolto da pgeocode
09051;Cagliari;CAP non risolto da pgeocode
09052;Cagliari;CAP non risolto da pgeocode
09053;Cagliari;CAP non risolto da pgeocode
09054;Cagliari;CAP non risolto da pgeocode
09055;Cagliari;CAP non risolto da pgeocode
09056;Cagliari;CAP non risolto da pgeocode
09057;Cagliari;CAP non risolto da pgeocode
09058;Cagliari;CAP non risolto da pgeocode
09059;Cagliari;CAP non risolto da pgeocode
09060;Cagliari;CAP non risolto da pgeocode
09061;Cagliari;CAP non risolto da pgeocode
09062;Cagliari;CAP non risolto da pgeocode
09063;Cagliari;CAP non risolto da pgeocode
09064;Cagliari;CAP non risolto da pgeocode
09065;Cagliari;CAP non risolto da pgeocode
09066;Cagliari;CAP non risolto da pgeocode
09067;Cagliari;CAP non risolto da pgeocode
09068;Cagliari;CAP non risolto da pgeocode
09069;Cagliari;CAP non risolto da pgeocode
09089;Sassari;CAP non risolto da pgeocode
09132;Cagliari;CAP non risolto da pgeocode
09133;Cagliari;CAP non risolto da pgeocode
10021;Torino;CAP non risolto da pgeocode
10079;Torino;CAP non risolto da pgeocode
13029;Torino;CAP non risolto da pgeocode
13834;Torino;CAP non risolto da pgeocode
13852;Torino;CAP non risolto da pgeocode
15047;Milano Sud;CAP non risolto da pgeocode
15122;Milano Sud;CAP non risolto da pgeocode
16037;Genova;CAP non risolto da pgeocode
18028;Albenga;CAP non risolto da pgeocode
19127;Lucca;CAP non risolto da pgeocode
19128;Lucca;CAP non risolto da pgeocode
19129;Lucca;CAP non risolto da pgeocode
19130;Lucca;CAP non risolto da pgeocode
20100;Milano Nord;CAP non risolto da pgeocode
20130;Milano Est;CAP non risolto da pgeocode
20140;Milano Sud;CAP non risolto da pgeocode
20150;Milano Nord;CAP non risolto da pgeocode
20160;Milano Nord;CAP non risolto da pgeocode
23041;Sondrio;CAP non risolto da pgeocode
23856;Lecco;CAP non risolto da pgeocode
24032;Bergamo;CAP non risolto da pgeocode
24085;Bergamo;CAP non risolto da pgeocode
28921;Milano Ovest;CAP non risolto da pgeocode
28923;Milano Ovest;CAP non risolto da pgeocode
28924;Milano Ovest;CAP non risolto da pgeocode
28925;Milano Ovest;CAP non risolto da pgeocode
29031;Milano Sud;CAP non risolto da pgeocode
30012;Venezia;CAP non risolto da pgeocode
30017;Venezia;CAP non risolto da pgeocode
30019;Venezia;CAP non risolto da pgeocode
30127;Venezia;CAP non risolto da pgeocode
30128;Venezia;CAP non risolto da pgeocode
30129;Venezia;CAP non risolto da pgeocode
30130;Venezia;CAP non risolto da pgeocode
30134;Venezia;CAP non risolto da pgeocode
30136;Venezia;CAP non risolto da pgeocode
30137;Venezia;CAP non risolto da pgeocode
30138;Venezia;CAP non risolto da pgeocode
30139;Venezia;CAP non risolto da pgeocode
30140;Venezia;CAP non risolto da pgeocode
30143;Venezia;CAP non risolto da pgeocode
30144;Venezia;CAP non risolto da pgeocode
30145;Venezia;CAP non risolto da pgeocode
30146;Venezia;CAP non risolto da pgeocode
30147;Venezia;CAP non risolto da pgeocode
30148;Venezia;CAP non risolto da pgeocode
30149;Venezia;CAP non risolto da pgeocode
30150;Venezia;CAP non risolto da pgeocode
30151;Venezia;CAP non risolto da pgeocode
30152;Venezia;CAP non risolto da pgeocode
30153;Venezia;CAP non risolto da pgeocode
30154;Venezia;CAP non risolto da pgeocode
30155;Venezia;CAP non risolto da pgeocode
30156;Venezia;CAP non risolto da pgeocode
30157;Venezia;CAP non risolto da pgeocode
30158;Venezia;CAP non risolto da pgeocode
30159;Venezia;CAP non risolto da pgeocode
30160;Venezia;CAP non risolto da pgeocode
30161;Venezia;CAP non risolto da pgeocode
30162;Venezia;CAP non risolto da pgeocode
30163;Venezia;CAP non risolto da pgeocode
30164;Venezia;CAP non risolto da pgeocode
30165;Venezia;CAP non risolto da pgeocode
30166;Venezia;CAP non risolto da pgeocode
30167;Venezia;CAP non risolto da pgeocode
30168;Venezia;CAP non risolto da pgeocode
30169;Venezia;CAP non risolto da pgeocode
30176;Venezia;CAP non risolto da pgeocode
33012;Treviso;CAP non risolto da pgeocode
33014;Udine;CAP non risolto da pgeocode
35033;Padova;CAP non risolto da pgeocode
36044;Padova;CAP non risolto da pgeocode
36048;Padova;CAP non risolto da pgeocode
37025;Verona;CAP non risolto da pgeocode
37033;Verona;CAP non risolto da pgeocode
37061;Verona;CAP non risolto da pgeocode
38072;Trento;CAP non risolto da pgeocode
38081;Trento;CAP non risolto da pgeocode
38098;Trento;CAP non risolto da pgeocode
38099;Bolzano;CAP non risolto da pgeocode
40040;Bologna;CAP non risolto da pgeocode
40044;Bologna;CAP non risolto da pgeocode
40045;Bologna;CAP non risolto da pgeocode
40130;Bologna;CAP non risolto da pgeocode
40140;Bologna;CAP non risolto da pgeocode
41010;Sassuolo;CAP non risolto da pgeocode
41123;Sassuolo;CAP non risolto da pgeocode
42037;Parma;CAP non risolto da pgeocode
42038;Sassuolo;CAP non risolto da pgeocode
42039;Sassuolo;CAP non risolto da pgeocode
43020;Parma;CAP non risolto da pgeocode
43033;Parma;CAP non risolto da pgeocode
43046;Parma;CAP non risolto da pgeocode
44025;Bologna;CAP non risolto da pgeocode
44032;Bologna;CAP non risolto da pgeocode
47022;Rimini;CAP non risolto da pgeocode
47521;Rimini;CAP non risolto da pgeocode
47811;Rimini;CAP non risolto da pgeocode
47812;Rimini;CAP non risolto da pgeocode
47813;Rimini;CAP non risolto da pgeocode
47821;Rimini;CAP non risolto da pgeocode
47825;Rimini;CAP non risolto da pgeocode
47827;Rimini;CAP non risolto da pgeocode
47852;Rimini;CAP non risolto da pgeocode
47890;Rimini;CAP non risolto da pgeocode
48023;Rimini;CAP non risolto da pgeocode
48121;Rimini;CAP non risolto da pgeocode
48122;Rimini;CAP non risolto da pgeocode
48123;Rimini;CAP non risolto da pgeocode
48124;Rimini;CAP non risolto da pgeocode
48125;Rimini;CAP non risolto da pgeocode
50011;Firenze;CAP non risolto da pgeocode
50015;Firenze;CAP non risolto da pgeocode
50029;Firenze;CAP non risolto da pgeocode
50030;Firenze;CAP non risolto da pgeocode
50069;Firenze;CAP non risolto da pgeocode
51022;Firenze;CAP non risolto da pgeocode
52019;Firenze;CAP non risolto da pgeocode
54036;Lucca;CAP non risolto da pgeocode
54037;Lucca;CAP non risolto da pgeocode
55044;Lucca;CAP non risolto da pgeocode
56013;Livorno;CAP non risolto da pgeocode
56018;Livorno;CAP non risolto da pgeocode
57010;Livorno;CAP non risolto da pgeocode
57011;Livorno;CAP non risolto da pgeocode
57012;Livorno;CAP non risolto da pgeocode
57013;Livorno;CAP non risolto da pgeocode
57018;Livorno;CAP non risolto da pgeocode
57024;Livorno;CAP non risolto da pgeocode
59028;Firenze;CAP non risolto da pgeocode
60130;Rimini;CAP non risolto da pgeocode
61036;Rimini;CAP non risolto da pgeocode
62031;Rimini;CAP non risolto da pgeocode
63012;Rimini;CAP non risolto da pgeocode
63013;Rimini;CAP non risolto da pgeocode
63016;Rimini;CAP non risolto da pgeocode
63017;Rimini;CAP non risolto da pgeocode
63029;Rimini;CAP non risolto da pgeocode
63039;Rimini;CAP non risolto da pgeocode
63043;Rimini;CAP non risolto da pgeocode
63044;Rimini;CAP non risolto da pgeocode
70051;Bari;CAP non risolto da pgeocode
70052;Bari;CAP non risolto da pgeocode
70057;Bari;CAP non risolto da pgeocode
71051;Bari;CAP non risolto da pgeocode
80072;Napoli;CAP non risolto da pgeocode
80081;Napoli;CAP non risolto da pgeocode
80130;Napoli;CAP non risolto da pgeocode
80140;Napoli;CAP non risolto da pgeocode
82014;Napoli;CAP non risolto da pgeocode
87059;Cosenza;CAP non risolto da pgeocode
89079;Cosenza;CAP non risolto da pgeocode
89938;Cosenza;CAP non risolto da pgeocode
90051;Catania;CAP non risolto da pgeocode
90130;Catania;CAP non risolto da pgeocode
90150;Catania;CAP non risolto da pgeocode
92031;Catania;CAP non risolto da pgeocode
